#所々に入ってる#は目印ですのでお気になさらず
#=
enemy,1,20,125,15,6,L
enemy,4,20,125,30,6,L
#12
#=
enemy,7,300,125,15,6,R
enemy,10,300,125,30,6,R
#24
#=
enemy,14,60,125,10,6,L
enemy,14,60,125,20,6,L
#36
#=
enemy,17,260,125,10,6,R
enemy,17,260,125,20,6,R
#48
#(=)
enemy,20,20,125,10,6,R
enemy,20,20,125,20,6,R
enemy,20,22.5,125,15,1,N
enemy,20,355,125,15,1,N
#62
#U
enemy,23,80,125,10,7,U
enemy,23,82.5,125,5,1,N
enemy,23,85,125,5,1,N
enemy,23,87.5,125,5,1,N
enemy,23,90,125,5,1,N
enemy,23,92.5,125,10,7,U
#80
#N
enemy,24,100,125,5,8,U
enemy,24,102.5,125,35,1,N
enemy,24,105,125,30,1,N
enemy,24,107.5,125,25,1,N
enemy,24,110,125,20,1,N
enemy,24,112.5,125,15,1,N
enemy,24,115,125,10,1,N
enemy,24,117.5,125,5,8,U
#103
#I(24)
enemy,25,125,125,40,1,N
enemy,25,127.5,125,40,1,N
enemy,25,130,125,40,1,N
enemy,25,132.5,125,40,1,N
enemy,25,135,125,40,1,N
enemy,25,137.5,125,40,1,N
enemy,25,130,125,5,7,U
enemy,25,132.5,125,5,7,U
enemy,25,125,125,5,1,N
enemy,25,127.5,125,5,1,N
enemy,25,130,125,5,1,N
enemy,25,132.5,125,5,1,N
enemy,25,135,125,5,1,N
enemy,25,137.5,125,5,1,N
#127
#T
enemy,26,145,125,40,1,N
enemy,26,147.5,125,40,1,N
enemy,26,150,125,40,1,N
enemy,26,152.5,125,5,8,U
enemy,26,155,125,5,8,U
enemy,26,157.5,125,40,1,N
enemy,26,160,125,40,1,N
enemy,26,162.5,125,40,1,N
#147
#Y
enemy,27,172.5,125,35,1,N
enemy,27,172.5,125,40,1,N
enemy,27,175,125,30,1,N
enemy,27,175,125,35,1,N
enemy,27,177.5,125,5,6,U
enemy,27,180,125,5,6,U
enemy,27,182.5,125,30,1,N
enemy,27,182.5,125,35,1,N
enemy,27,185,125,35,1,N
enemy,27,185,125,40,1,N
#167
#◇
enemy,30,240,125,20,1,N
enemy,30,242.5,125,15,3,U
enemy,30,245,125,10,5,U
enemy,30,247.5,125,5,7,U
enemy,30,250,125,10,5,U
enemy,30,252.5,125,15,3,U
enemy,30,255,125,20,1,N
#191
#//
enemy,35,125,125,10,1,N
enemy,36,130,125,20,1,N
enemy,37,135,125,30,1,N
enemy,38,140,125,40,1,N
enemy,41,140,125,10,1,N
enemy,42,145,125,20,1,N
enemy,43,150,125,30,1,N
enemy,44,155,125,40,1,N
#201
#;;;;;
enemy,45,200,125,20,1,N
enemy,45,200,125,30,1,N
enemy,45,200,125,40,1,N
enemy,46,210,125,30,1,N
enemy,46,210,125,20,1,N
enemy,46,210,125,10,1,N
enemy,47,220,125,20,1,N
enemy,47,220,125,30,1,N
enemy,47,220,125,40,1,N
enemy,48,230,125,30,1,N
enemy,48,230,125,20,1,N
enemy,48,230,125,10,1,N
enemy,49,240,125,20,1,N
enemy,49,240,125,30,1,N
enemy,49,240,125,40,1,N
#216
#= =
enemy,53,20,125,15,6,L
enemy,53,20,125,30,6,L
enemy,53,280,125,15,6,R
enemy,53,280,125,30,6,R
#230
#□
enemy,58,160,125,5,8,U
enemy,59,162.5,125,5,8,U
enemy,60,165,125,5,8,U
enemy,61,167.5,125,5,8,U
enemy,62,170,125,5,8,U
enemy,63,172.5,125,5,8,U
#254
#□
enemy,63,210,125,5,8,U
enemy,64,212.5,125,5,8,U
enemy,65,215,125,5,8,U
enemy,66,217.5,125,5,8,U
enemy,67,220,125,5,8,U
enemy,68,222.5,125,5,8,U
#336
#::::::
enemy,70,270,125,10,3,U
enemy,71,265,125,10,3,U
enemy,72,260,125,10,3,U
enemy,73,255,125,10,3,U
enemy,74,250,125,10,3,U
enemy,75,245,125,10,3,U
#354
#::::
enemy,77,100,125,5,4,U
enemy,78,105,125,10,4,U
enemy,79,110,125,5,4,U
enemy,80,115,125,10,4,U
enemy,81,120,125,5,4,U
#374
#◇
enemy,84,290,125,20,1,N
enemy,84,292.5,125,15,3,U
enemy,84,295,125,10,5,U
enemy,84,297.5,125,5,7,U
enemy,84,300,125,10,5,U
enemy,84,302.5,125,15,3,U
enemy,84,305,125,20,1,N
