#展示用(ボスと同時に出すよう)
#ループ前提なので短いです！！！
enemyL,2,180,130,40,1,N,
enemyL,2,100,130,10,6,U,
enemyR,2,220,130,10,6,U,
enemyL,4,100,130,10,6,U,
enemyR,4,220,130,10,6,U,
enemyL,6,100,130,10,6,U,
enemyR,6,220,130,10,6,U,
enemyR,10,0,130,5,1,N,
enemyR,12,220,130,10,6,U,
enemyR,12,230,130,10,6,U,
enemyL,15,100,130,10,1,N,
enemyL,16,20,130,10,6,U,
enemyL,16,0,130,10,6,U,
enemyR,18,300,130,35,4,L,
enemyL,20,250,130,20,4,R,
enemyR,22,120,130,10,6,U,
enemyL,22,280,130,10,6,U,
enemyR,22,140,130,10,6,U,
enemyL,22,260,130,10,6,U,
enemyR,22,160,130,10,6,U,
enemyL,22,240,130,10,6,U,
enemyR,25,210,130,5,5,L,
enemyL,27,0,130,10,6,U,
enemyR,27,220,130,10,6,U,
enemyL,29,90,130,40,5,R,
enemyL,32,10,130,25,5,R,
enemyR,35,60,130,35,5,L,
enemyR,37,220,130,10,6,U,
enemyR,37,220,130,10,6,U,
enemyL,40,330,130,10,5,L,
enemyR,42,250,130,20,6,L,
enemyR,44,220,130,10,6,U,
enemyL,44,0,130,10,6,U,
enemyL,45,0,130,5,6,R,
#
END,-9999,-9999,-9999,-9999,-9999,N
