#所々に入ってる#は目印ですのでお気になさらず
#=
enemyR,1,20,130,15,6,L,
enemyR,4,20,130,30,6,L,
#12
#=
enemyL,7,300,130,15,6,R,
enemyL,10,300,130,30,6,R,
#24
#3D
enemy3D,11,200,130,40,6,R,
#+11
#=
enemyR,14,60,130,10,6,L,
enemyR,14,60,130,20,6,L,
#36
#=
enemyL,17,260,130,10,6,R,
enemyL,17,260,130,20,6,R,
#48
#3D
enemy3D,18,290,130,40,6,L,
#=
enemyL,20,20,130,10,6,R,
enemyL,20,20,130,20,6,R,
#60
#U
enemyR,23,80,130,10,7,U,
enemyR,23,82.5,130,5,1,N,
enemyR,23,85,130,5,1,N,
enemyR,23,87.5,130,5,1,N,
enemyR,23,90,130,5,1,N,
enemyR,23,92.5,130,10,7,U,
#78
#N
enemyR,24,100,130,5,8,U,
enemyR,24,102.5,130,35,1,N,
enemyR,24,105,130,30,1,N,
enemyR,24,107.5,130,25,1,N,
enemyR,24,110,130,20,1,N,
enemyR,24,112.5,130,15,1,N,
enemyR,24,115,130,10,1,N,
enemyR,24,117.5,130,5,8,U,
#101
#I(24)
enemyR,25,125,130,40,1,N,
enemyR,25,127.5,130,40,1,N,
enemyR,25,130,130,40,1,N,
enemyR,25,132.5,130,40,1,N,
enemyR,25,135,130,40,1,N,
enemyR,25,137.5,130,40,1,N,
enemyR,25,130,130,5,7,U,
enemyR,25,132.5,130,5,7,U,
enemyR,25,125,130,5,1,N,
enemyR,25,127.5,130,5,1,N,
enemyR,25,130,130,5,1,N,
enemyR,25,132.5,130,5,1,N,
enemyR,25,135,130,5,1,N,
enemyR,25,137.5,130,5,1,N,
#125
#T
enemyR,26,145,130,40,1,N,
enemyR,26,147.5,130,40,1,N,
enemyR,26,150,130,40,1,N,
enemyR,26,152.5,130,5,8,U,
enemyR,26,155,130,5,8,U,
enemyR,26,157.5,130,40,1,N,
enemyR,26,160,130,40,1,N,
enemyR,26,162.5,130,40,1,N,
#145
#Y
enemyR,27,172.5,130,35,1,N,
enemyR,27,172.5,130,40,1,N,
enemyR,27,175,130,30,1,N,
enemyR,27,175,130,35,1,N,
enemyR,27,177.5,130,5,6,U,
